Song_Title,Streams,Daily,Album,Type
Marry The Night - R3hab Remix,410230,160,Marry The Night (The Remixes),Non-Soundtrack Song
Marry The Night - Sander Van Doorn Remix,190802,22,Marry The Night (The Remixes),Non-Soundtrack Song
Marry The Night - Sidney Samson Remix,143527,33,Marry The Night (The Remixes),Non-Soundtrack Song
Marry The Night - The Weeknd & Illangelo Remix,1278195,273,Marry The Night (The Remixes),Non-Soundtrack Song
Marry The Night - Zedd Remix,4569691,1368,Born This Way (Special Edition),Non-Soundtrack Song
Marry The Night - Zedd Remix,530657,69,Marry The Night (The Remixes),Non-Soundtrack Song
Mary Jane Holland,20659754,6507,Artpop,Non-Soundtrack Song
Million Reasons,717468948,320304,Joanne,Non-Soundtrack Song
Million Reasons - Andrelli Remix,8415940,889,Single,Non-Soundtrack Song
Million Reasons - KVR Remix,3594792,637,Single,Non-Soundtrack Song
Money Honey,25048579,10657,The Fame,Non-Soundtrack Song
Monster,80045122,124235,The Fame Monster (Deluxe Edition),Non-Soundtrack Song
Music To My ESoundtrack Song,118694250,19425,A Star Is Born Soundtrack,Soundtrack Song
"Orange Colored Sky - Live from ""A Very Gaga Thanksgiving'""",1426761,301,A Very Gaga Holiday,Non-Soundtrack Song
Paparazzi,410890763,311399,The Fame,Non-Soundtrack Song
Paparazzi - CHEW FU Ghettohouse Fix,242190,79,Paparazzi (The Remixies Part Deux),Non-Soundtrack Song
Paparazzi - Demolition Crew Remix,245784,101,Paparazzi Remix EP,Non-Soundtrack Song
Paparazzi - Filthy Dukes Remix,354275,47,Paparazzi Remix EP,Non-Soundtrack Song
Paparazzi - James Carameta Tabloid Remix,388324,158,Paparazzi (The Remixies Part Deux),Non-Soundtrack Song
Paparazzi - Moto Blanco Radio Mix,808035,264,Paparazzi Remix EP,Non-Soundtrack Song
Paparazzi - Stuart Price Remix,2121993,544,The Remix,Non-Soundtrack Song
Paparazzi - Yuksek Remix,168923,38,Paparazzi (The Remixies Part Deux),Non-Soundtrack Song
Paper Gangsta,27999503,8183,The Fame,Non-Soundtrack Song
Perfect Illusion,205653323,37853,Joanne,Non-Soundtrack Song
Plastic Doll,43819461,9967,Chromatica,Non-Soundtrack Song
Plastic Doll - Ashnikko Remix,11573562,11528,Dawn Of Chromatica,Non-Soundtrack Song
Poker Face,943412387,802919,The Fame,Non-Soundtrack Song
Poker Face - Dave Audé Remix,629748,294,Poker Face (Remixes),Non-Soundtrack Song
Poker Face - Glam As You Club Mix,151065,61,Poker Face (Remixes Part 2),Non-Soundtrack Song
Poker Face - Jody den Broeder Remix,631565,263,Poker Face (Remixes),Non-Soundtrack Song
Poker Face - Live at The Cherrytree House PiaNon-Soundtrack Song & Voice Version,4034978,860,The Cherrytree Sessions,Non-Soundtrack Song
Poker Face - LLG vs GLG Radio Mix,6084260,4699,The Remix,Non-Soundtrack Song
Poker Face - Space Cowboy Remix,741949,196,Poker Face (Remixes),Non-Soundtrack Song
Poker Face - Tommy Sparks & The Fury Remix,196407,2,Poker Face (Remixes Part 2),Non-Soundtrack Song
Rain On Me - Purple Disco Machine Remix,2843967,937,Rain On Me (Purple Disco Machine Remix),Non-Soundtrack Song
Rain On Me - Purple Disco Machine Remix - Edit,24926882,15697,Rain On Me (Purple Disco Machine Remix),Non-Soundtrack Song
Rain On Me - Ralphi Rosario Remix,1064599,499,Rain On Me (Ralphi Rosario Remix),Non-Soundtrack Song
Rain On Me - Ralphi Rosario Remix - Edit,1542766,883,Rain On Me (Ralphi Rosario Remix),Non-Soundtrack Song
Rain On Me (with Ariana Grande),943141020,351750,Chromatica,Non-Soundtrack Song
Rain On Me (with Ariana Grande) - Arca Remix,4562051,1822,Dawn Of Chromatica,Non-Soundtrack Song
Replay,71180965,37673,Chromatica,Non-Soundtrack Song
Replay - Dorian Electra Remix,5965145,3929,Dawn Of Chromatica,Non-Soundtrack Song
"Retro, Dance, Freak",2699559,455,The Fame Monster,Non-Soundtrack Song
Scheiße,46012821,28526,Born This Way,Non-Soundtrack Song
